Key	Value
修行宝地	Cultivated
拍照模式	Camera
当前装备命令太多	Too many equipping orders.
\n兽形态下无法突破瓶颈	\nUnable to breakthrough Limit in beast form.
通知配置	Notification Setting
发布开采命令	Issue an order to start mining.
覆盖	Cover
\n境界不够：{0}	\nToo low State: {0}
门派任务	Sect Quest
{0}{1}  {2}经验\n	{0}{1}  {2}XP\n
该物品不能被灵淬了	This item cannot be spiritually refined.
参玄悟妙	Seek Inspiration
坐东朝西	Facing West
炼丹相关	Alchemy Related
因神国中神民怨念累积到100%而产生的信仰天劫。如果度过，则使怨念清零，如若失败，则灰飞烟灭。\n已渡信仰天劫：{0}次	A Heavenly Tribulation caused by the 100% accumulated hatred from the divine residents in the Divine Realm. If the character survives, all hatred will be cleared; if not, they will be obliterated. \nBelief Tribulations Survived: {0} times
可提高灵宠锻炼的效果以及解锁更多行为。	Improves the effects of Pet exercise and unlock more Acts.
远离炉灶	and Away from the Stove
{0}\n升级条件：\n{1}	{0}\nLevel up condition: \n{1}
{0}\n{2}\n{1:N0}岁\n{3}	{0}\n{2}\nAge {1:N0}\n{3}
Lua回调类名	Lua Callback Class Name
外门杂物	Outer Miscellneous
[点击配置阵法]	[Click to set a formation configuration]
轮回书	Reincarnators
返回主菜单	Return to Menu
激活	Activate
生成全景图片需要一定的时间，请不要移动鼠标并耐心等待直到提示完成。	It takes time to generate the world. Please do not move your mouse and wait until it has been generated.
重载PlaceDefs	Reload PlaceDefs
订阅最多	Most Subscribed
该区域此类建筑已达上限	No more buildings of the same type in this area
享用:{0}	Use: {0}
正在修复第{0}个文件\n{1}	Fixing file No.{0}\n{1}
施展神通的次数	Number of miracles you have performed.
魔门巨擘	Infamous
任人宰割	Vulnerable
地点图鉴需要玩家前往目标地点历练来点亮。	To unlock the contents of Location Encyclopedia, you need to travel to these locations for Adventures.
同步用户信息	Sync User Info
百	Hundred
可从以下地点进入：{0}	Enter at the location: {0}
赶路时略感疲惫，正准备歇一歇脚	Feeling tired after walking; going to get some rest
打磨	Polishing
未获得通行权，贸然进入将会受到攻击	Inaccessible. The character will be attacked for forced entry.
[{1}]\n{2}\n需要参悟值：{0:F0}	[{1}]\n{2}\nNeed inspirations: {0:F0}
{0}没有对应的装备槽位了	{0} cannot equip this item.
读取存档文件	Loading save file
凡人不轻信他人，甚至纷纷逃离。只能收集到怨念。	People do not trust each other and even try to escape. Can only gather hatred and disappointment.
皮毛布料	Fur Cloth
吉	Auspicious
选择后缀	Select Suffix
特殊玩法	Special
蓝图说明：\n	Blueprint Description: \n
在建筑工作时，正累的气喘吁吁	Constructing; panting for breath
召回圣物	Recall Sacred Relic
{0}颗	{0} Pieces
{0:N1}米	{0:N1}m
时间：{0}	Time: {0}
思	Si
攻击命中: {0:P3}	Attack Accuracy: {0:P3}
新灵智碎片	New Intelligence Shard
查看难度	View Difficulty
正在加载	Loading
参与者	Partaker
请选择合适的内门弟子	Please select a suitable inner disciple.
====触发太易天道触发成功	====Trigger Taiyi Heavenly Dao success
防御坚韧\n此秘体承受攻击时抵抗伤害的程度。	Defense Endurance\nThe ability to resist damage when this Secret Body withstands attacks.
女人	Female
{0}人	{0}
过去三天行为数量：	[color=#D06508]Number of Acts in the past three days: [/color]
神秘大能	Mysterious Power
分配回门派	Send back to sect
远离祖师牌位	and Away from Grandmaster's Shrine
无法指定该角色	Cannot assign this character
请先启用任意天道！	Please enable any Heavenly Dao first!
灵植影响范围	Spiritual plants affect their surroundings.
提升一个角色的心境	Improve a character's Mental State.
蓝图丢失	Blueprint lost
结丹时的阴阳偏向对丹品的影响。\n在五行属性中，火木属阳性，在白天得到加成；金水属阴性，在夜晚得到加成；土则需要阴阳均衡。	Your Yin Yang affects the quality of cores during Core Shaping.\nAmong the Five Elements, Fire and Wood count as Yang and have a bonus effect during the day. Metal and Water count as Yin and have a bonus effect at night. Earth requires a balanced Yin and Yang.
仪所宽广	Open Space
添加新标签	Add New Label
正在乐呵呵的修理建筑中	Happily repairing buildings
感知({0:P0})\n眼睛与耳朵受伤会影响该值，感知影响视野范围和精细工作的效率。	Sense ({0:P0})\nThis value is affected when a character's eyes and ears take damage. Sense affects viewing distance and work efficiency of fine work.
新人模式下不能改变角色，请直接开始游戏。	You cannot change character in Beginner. Simply enter the game.
尚未获得	Not obtained
独门秘籍	Exclusive Manual
锻炼{0}中	Exercising {0}
[color=#9e6404]相关工作：[/color]\n移除地板\n拆除建筑\n修理建筑\n移动和安装建筑\n建造建筑\n搬运建筑原料	[color=#9e6404]Related work:[/color]\nRemoving floor\nDemolishing buildings\nRepairing buildings\nMoving and erecting buildings\nConstructing buildings\nCarrying building material
刚刚完成一次治疗，松了松疲惫肩膀	Just completed a healing; loosening up shoulders to relax
增加参悟值	Increase Inspiration
丽	ful
[{0}将{1}赠与你]	[{0} gave you {1} as a gift.]
离开{0}	Leave {0}
删除特殊效果	Delete Special Effect
-灵胎	- Incubation
请选择移动目的地	Please select the move destination
{0}[{7}]\n真炁:{8:N0}\n健康:{1:P0}\n心境:{6:N0}\n饥饿:{2:N0}\n口渴:{3:N0}\n精力:{4:N0}\n情绪:{5:N0}	{0}[{7}]\nTrue Qi: {8:N0}\nHealth: {1:P0}\nMental State: {6:N0}\nHunger: {2:N0}\nThirst: {3:N0}\nEnergy: {4:N0}\nMood: {5:N0}
娱乐:{0}	Leisure: {0}
仙人{0}经过无量劫难，度{1}重天劫，于天苍历{2}年{3}斩断尘缘，以{4}证得灵仙之境。	After undergoing numerous trials, {0} was struck by Heaven's tribulation {1}; in year {2} of the Tiancang Era, {3}'s left their mortal body and attained immortality due to {4}.
等级:{0}	Level: {0}
肉类	Meat
赏雪	Watching the Snow
取消建造	Cancel
单次上传的轮回者最多允许 20 个	You can only upload 20 reincarnators per time.
[color=#bf642f]掌管压力：{0}[/color]\n{1}	[color=#bf642f]Management Pressure: {0}[/color]\n{1}
设置种植植物的生长程度	Set the plants' growth.
这几个势力凑在一起，似乎有点不对劲。不知是少了什么线索，还是想得太多了。	Something seems a little off with these factions combined. Maybe a clue is missing, or you're overthinking it.
吃东西时好像在思考什么，一脸凝重	Eating while thinking about something; feels solemn
暮观日落	Watching the Sunset
尝试与这个单位交流。\n处事等级及对方对门派的好感度会影响交流结果，但也不是每件事都会直接告诉你。	Try to communicate with this unit. \nYour social skills and their favor of the sect will affect the result of the communication, but they may not tell your everything.
购买成功!谢谢大爷!	Purchase successful! Thank you, Master!
被施法	was cast.
的	's
正惬意的享受自己的娱乐时间	Enjoying recreation time
对象降阶	Tier-down
天气图鉴需要玩家遭遇对应天气来点亮。	To unlock the contents of Weather Encyclopedia, you need to have encountered the corresponding weathers.
不安	Uneasy
获得信仰：{0:F0}	Belief Obtained: {0:F0}
似乎随便画画就可以得到神奇的结果。	It seems that you can paint wonders by only scribbling.
建筑蓝图	Blueprint
获得秘籍：《{0}》 X {1}	Obtained Manual: {0} X {1}
{0}{1}的{2}	{0}{1}'s {2}
次	Times
红布	Red Fabric
精怪	Sentient Spirit
心境:{0:N0} ({1}){2}\n心境会大幅度影响修炼相关行为的效率和成功率。	Mental State: {0:N0}({1}){2}\nA character's Mental State affects the efficiency and success rate of training-related actions.
解锁新的隐秘：\n[align=center][color=#306BC7]{0}[/color][/align]	New Mystery unlocked: \n[align=center][color=#306BC7]{0}[/color][/align]
退出成功，请重启游戏	Exit successful, please restart the game
吞噬目标物品，以强大的的肉体将其精华提炼而出。吞噬能力与格物技能等级，消化系统的淬炼程度有关。\n目前最高可吞噬[color=#990000][my_property=BodyPractice_EatItemMaxRate|{0:F2}]阶[/color]的物品。	Devour the target item, and extract the essence out of that item with a strong body. Devouring ability is related to one's Comprehension skill level and degree of Remolding of digestive system.\nCurrently you may devour [color=#990000]tier [my_property=BodyPractice_EatItemMaxRate|{0:F2}][/color] items at maximum.
吼！	Roar!
突破结束，正感慨大道难测	Breakthrough completed; having mixed feelings
减少一个神修的神性	Reduce a pantheon cultivator's Divinity.
自然奇景	Natural Landscape
随机	Random
单次上传的建筑蓝图最多允许 20 个	Each upload can only have 20 building blueprints.
建造一个房间，并为每个角色分配床铺	Build a House and arrange a bed for each character.
触发对象组别	Trigger Target Team
消息	Message
给角色添加Modify。	Add Modify for character.
PayMgr-> 购买ID为{0}的商品成功	PayMgr-> 购买ID为{0}的商品成功
选择一个金丹期或以上境界的内门弟子拜师。	Select an inner disciple with Golden Core state or higher to acknowledge as master and study from them.
无法胜任这项工作!	Cannot do this work!
入门	Novice
评论长度超出限制	Your comment has exceeded the length limit.
三面为墙	and Against three walls
\n[color=#990000](主动释放时灵气穿透会提高到3倍)[/color]	\n[color=#990000]Qi barrier penetration increases by 200% when actively released.[/color]
[color=#FF0000]未指定专精[/color]\n	[color=#FF0000]Expertise not chosen.[/color]\n
健康值	Health
凶兽	Fierce Beast
狭小	Narrow
正心无旁骛的砍柴中	Concentrates on splitting firewood
受太玄天道影响，无法手动选择！	Affected by Taixuan Heavenly Dao, cannot manually choose!
天劫	Heavenly Tribulation
在练习秘法之时，正觉得心烦意乱	Practicing a secret Law; feels upset
其他装备	Other Equipment
等轮回者	etc.
正在准备工具，去执行手工作业	Preparing handcrafting tools
收获这个植物	Harvest this plant.
开心	Delighted
从根本上增加固定值	Base Increase
流拍	Failed Auction
购买物资	Purchase
还是算了	Never mind
门派恶名	Sect's Bad Reputation
<font color=#FF0000>地点不适合</font>	<font color=#FF0000>Unsuitable Site</font>
花费{0}灵石拍卖到以下道具：	Cost {0} spirit stones to buy the following item:
{0}的利爪	{0}'s claws
防御成功: {0:P3}	Defense Success: {0:P3}
正专心地垂钓	Fish focusly
正在一脸埋怨的给伤员治疗	Reluctantly heals the wounded
次数:{0}	Times: {0}
夺剑	Sword Snatching
取消跟随当前目标	Stop following the current target.
轮回时状态	Status (Reincarnation)
游戏 暂停/继续\n[keycode]GamePauseOrPlay[/keycode]	Game Pause/Play\n[keycode]GamePauseOrPlay[/keycode]
{0:N0}阶]	{0:N0}
中立角色	Netural Characters
  <font color=#00FF00>[绑定：{0}]</font>\n	  <font color=#00FF00>[Soulbound: {0}]</font>\n
姓	Surname
吃东西呛了自己一口，正大声咳嗽	Choked on something; coughs loudly
CloudSave->开始打开存档:{0}	CloudSave->Start Opening Save: {0}
{0}的秘体[{1}]发生变化：\n[color={4}]{2}重→{3}重[/color]	Changes occurred on {0}'s Secret Body [{1}]: \n[color={4}]{2}th layer→{3}th layer[/color]
帽子	Hat
技能关联:无	Skill Link: None
精元容量:{0:F0}/{1:F0} ({2:F0}%)\n灵智碎片足够，而且精元容量已满的时候可以开启灵智。	Stamina capacity: {0:F0}/{1:F0} ({2:F0}%)\nYou can awaken intelligence once Stamina is full and there is enough Intelligence Shards.
正在返回主菜单	Returning to Main Menu
沉睡	Sleep
背景故事 {0} 数据写入中...	{0}'s background story is being written…
{0}:{1}次\n	{0}:{1}\n
随机法宝	Random Artifact
没有可以传授的秘籍或者参悟	No available manual or inspiration.
内丹回灵速度:	Internal Core Qi Recovery:
初始化..	Initializing...
此处已经有人占用，无法垂钓	This place is fished by others
消耗9点香火值，清除所有天气并获得庇护。	Costs 9 Incense. Clears all weather effects and grants protection.
返回中	Returning
键位的编码已被使用，请更换编码！	Code already in use. Choose another code.
征伐天下	Conquest
取下置物台物品	Remove Display Items
突破地点的灵气浓度对突破成功率的影响。	The Qi density of the location affects the success rate of breakthroughs.
(已飞升)	(Ascended)
在拆地板时，正忍不住神游天外	Removing floor; can't help but daydream
东西已经加工过，已失其用，我们并不需要了。	It's already been processed and lost its value. We do not need it.
转弯速度 : {0:N0}度/秒	Turn Speed: {0:N0}degrees/sec
PayMgr-> 找不到ID为{0}的商品信息	PayMgr-> 找不到ID为{0}的商品信息
无法启智	Unable to awaken intelligence.
积累50份耐储存的食物（烤肉/面饼/果脯）	Collect 50 pieces of storable food (e.g. Roast Meat, Bread, Dried Fruit).
{1}{0:N2}/天	{1} {0:N2}/d
[color=#9e6404]相关工作：[/color]\n上床休养	[color=#9e6404]Related work:[/color]\nResting in bed
炼制成功的丹药数量	Number of elixirs you have created.
砍柴	Splitting firewood
等待角色完成开采	Wait until your character has finished mining.
秘体：{0}\n	Secret Body: {0}\n
在移除工作时，正忍不住神游天外	Removing something; can't help but daydream
无效阵图，无法布阵	Invalid plan; unable to form formation.
搬运这个法宝并将其放置到阵法之中。	Transport this artifact and place it in a formation.
获得秘籍：{0} X {1}	Obtained Manual: {0} X {1}
移除工作不顺，觉得有点消沉	Removal work is not going well; feels somewhat frustrated
稍微利于	Slightly Beneficial
[多个物体]	[Multiple Objects]
广为人知	Well-known
我们完成了{0}的任务，他们的长老表示感谢，并欠了我们人情。\n获得了{0}的{1}点人情。	We completed a task for {0}. Their elder expressed their gratitude and became more connected with us.\nObtained {1} favor with {0}.
熔炼	Smelt
核心信徒	Core Follower
在工作之时，突觉莫名伤心	Working; feels a bit sad all of a sudden
炼制法宝结束，正感叹炼器之道博大精深	Finished crafting artifacts; admiring the profoundness of crafting
{0}\n目标阵营：{4}\n目标类型：{3}\n阵法中每人消耗灵气：{1:N0}点\n施法间隔：{2:F1}秒\n	{0}\nTarget Faction: {4}\nTarget Type: {3}\nQi cost/person in the circle: {1:N0} points\nCoolDown: {2:F1} sec\n
能量值:{0}/{1}	Energy Value: {0} / {1}
请选择一个空的墓地	Select an empty burial ground.
刺眼	Dazzling
结丹时的心境对丹品的影响。	Mental State affects the quality of cores during Core Shaping.
你保存了一个阵法配置，现在你可以通过阵枢角色身上的结阵按钮来进行结阵。	You have saved a formation configuration. Now you can click the Form Formation button on the character appointed as the pillar to create formation.
当前阵图有阵法配置，即将删除配套阵法，是否确定	The plan has a formation configuration. Do you want to delete all the related formations?
正邪倾向:\n正 {0:F0}  邪 {1:F0}\n正邪倾向会影响事件的选择和发展方向	Good Or Evil:\nGood {0:F0}, Evil {1:F0}\nWhether you lean toward being good or evil affects your choices during events and how you develop.
六境:合道	Lv VI: Harmony
正专心拆地板	Concentrating on removing floor
上层界面可以控制子节点中的控件	You can control the controls of child nodes in the topmost menu.
无心修行，正想偷懒	Slacking; doesn't want to meditate
成长	Growing
教程	Tutorial
{0} 所需的前置模组排序过低:{1}	The rank of {0}'s required mod is too low: {1}
拜山	Visit
使该植物着火。	Set the plant on fire.
代理事件：{0}（可收集:{1}）	Agency Events: {0} (Collectable: {1})
CloudSave->开始解压	CloudSave->Start Decompression
规划一片药田，并将作物设定为灵仙草。	Create a herb garden and grow Spirit Leaf.
停	Stop
该物体没有灵气	This object has no Qi.
\n重生进度：{0}/{1}	\nRebirth progress: {0}/{1}
该角色不在弥留状态	This character is not dying.
熔炼中	Smelting
选择建筑	Select Building
缥缈	Misty
即将完成……	Almost complete…
作者:	Author:
请选择一个要被吞噬的物体	Select an item to devour.
前往目标地点吐纳天地之间的元气，以获得淬体所需的淬炼精华。吐纳时的季节、时间、天气、环境等均会影响吐纳获得精华的种类和效率。	Go to the target location and breath the primordial Qi between heaven and earth in order to obtain the Essence needed for Remolding. Season, time, weather and environment all have effects on the type and efficiency of Essence you are going to obtain from breathing.
迷惘的行商	Confused Merchant
主殿正在建造...	Building the main hall…
门派外门弟子总数	The total number of outer disciples.
请选择一个物体(植物、矿物、建筑)	Select an object (plant, ore, structure).
在搬运时，正累的气喘吁吁	Transporting goods; panting for breath
观察{0}之后未能获得任何思绪碎片。	Failed to obtain any Thought Shards after observation of {0}.
历世	Adulthood
打坐修行	Meditation Practice
语言文件丢失\nMissing Language Data\n	语言文件丢失\nMissing Language Data\n
CloudSave->存档Meta文件上传失败:{0}	CloudSave->Save Meta File Upload Failed: {0}
阁	Pavilion
defName=>{0} {1} 该物品未找到，请重新检查配置！	defName=>{0} {1} item not found, please recheck configuration!
选择参与推导的信息	Select information used for deduction
观察四周	Observe the Surroundings
指定动物活动区域	Specify an area for animals.
脱胎期	Incubation Phase
正在准备工具，去收获作物	Preparing harvesting tools
\n不能共存：{0}	\nCannot coexist:{0}
放置物品到置物台	Place item on the Display.
移动建筑到指定位置	Move building to designated location.
请输入标题	Please Enter Title
五	Five
取出：	Withdraw:
衣匠	Tailor
无法在此地突破	Unable to breakthrough at this location.
【{0}】出价[{1}]	[{0}] bid [{1}].
生成云雾	Generating clouds
与这个物体交互	Interact with this object
生产	Produce
植物产物	Plant Product
第{0}天 {1:D2}:{2:D2} {3}	Day {0} at {1:D2}:{2:D2} {3}
变成法宝	Change into Artifact
(生长停止)	(Growth Stopped)
切换至{0}一页技能面板\n\n快捷键:{1}	Switch to {0} Skill menu.\n\nHotkey: {1}
这也拿来卖？	You want me to buy this?
刚完成切石作业，正拍落衣服上的石屑灰尘	Just finished cutting stones; scrubbing dust off clothes
无心练习秘法，正想偷懒	Slacking; doesn't want to practice secret Laws
请确认comdlg32.ocx是否丢失！_{0}	Confirm whether you have comdlg32.ocx!_{0}
内容选择	DLC
灵气加成	Qi Bonus
发现地点：{0}个	Locations Discovered: {0}
[color=#FF0000][击杀模式][/color]	[color=#FF0000][Kill Mode][/color]
正在筑基	Training foundation
在锻造时，正快乐的哼着小调	Forging while humming a cheerful tune
手选目标点	Primary Target Point
该任务要求赠送如下道具：	This quest requires to gift the item:
是否跳过	Skip or not
大量的	Greatly
建筑蓝图 {0} 数据写入中...	Loading blueprint {0}…
请先建造工作台！	Please build a work station!
蒸蒸日上	Thriving
卧房	Bedroom
新建对话节点	Create New Dialogues
妖窟	Den
自弃	Giving Up
搜索这个角色，获得他身上的道具。	Search this character to acquire items.
启	Qi
请选择一个要埋葬的角色	Select a character to be buried.
在练习御剑间余，刚小憩片刻	Mastering the sword; taking a break
{0}\n最大重量：{1:f1}斤\n捕获数量：{2}	{0}\nMax Weight: {1:f1} kg\nCaught Fish: {2}
在修理建筑时，正快乐的哼着小调	Repairing buildings while humming a cheerful tune
与{0}({1})不能共存	Cannot coexist with {0}({1})
法术相关	Spells Related
无心移除工作，正想偷懒	Slacking; doesn't want to do removal work
请阅读提示({0}秒)	Please read the tip ({0} sec)
内门	Inner Disciple
弟子会自己安排修炼行为	Disciples will plan their own cultivation training schedule.
过	Pass.
太虚幻境\n假作真时真亦假，无为有时有还无。\n太上有道虚作实，心中无疑幻成真。	Land of Illusion\nIf you dress truth up as false; then, what is truly true and what is truly false?\nWith the power to turn illusion into reality, all one's doubts become true.
内容	Content
正专心收获	Concentrates on harvesting
输入老门派的名字	Enter a name for your old sect.
正在上传角色数据	Uploading Data
的宝贝	's Treasure
成长值	Growth
基础{0}: {1:F2}{2}	Basic {0}:  {1:F2}{2}
二境:凝练	Lv II: Congeal
吐纳天地	Worldly Breathing
{0}前无法淬炼{1}	Unable to remold {1} before {0}.
在练习护体间余，刚小憩片刻	Undertakes protection training; taking a break
刚砍完柴，正在擦汗	Just finished splitting firewood; wiping off sweat
游戏存档	Game save
<font color=#D06508>[植物]</font>\n生长效率:{0:N1}%	<font color=#D06508>[Plant]</font>\nGrowth Rate: {0:N1}%
听说了一个秘闻，也不知真假	Heard a new secret, which may or may not be true.
编辑地图及生成地图中的物品。	Edit map and generate items in the map.
参悟值：{0:N0}	Inspiration Value: {0:N0}
门派善名	Sect's Good Reputation
\n需要炼器等级:	\nRequires Artifact Crafting:
打开	Open
编辑移动路线。	Edit routes.
苑	Court
正在更新，请耐心等待...	Updating. Please wait…
性格	Personality
装饰	Decoration
旷古绝今	Unprecedented
{0}解锁神国建筑:[{1}]\n{2}	{0} unlocks Divine Realm Building: [{1}]\n{2}
三	Three
在这个建筑上撰写内容，只有一次机会。	Write any content on this structure. Can only be done once.
在筑基之时，突觉莫名伤心	Training foundation; feels a bit sad all of a sudden
[align=center](秘体)[	[align=center](Secret Body)[
恭喜{0}以价格{1}赢得本次竞拍！	Congratulate {0} for bidding {1} to win this auction item!
更换分堂专精	Change branch expertise
正心无旁骛的手工作业中	Concentrating on doing handcraft
在拆迁建筑之时，突然想起了故乡	Demolishing buildings; feels homesick
请选择一个释放的目标	Select a target to cast.
获得{0}{1}	Obtained {0}{1}
开始同步	Start Sync
该秘籍无法被录入	This manual cannot be transcribed.
选择并食用一个道具。\n角色会自动食用食物	Select and eat an item.\nThe character will automatically eat the food.
天下阵法	World Formation
官方蓝图	Official Blueprint
文中含有敏感词汇，请斟酌后重书	There is something sensible in the text. Pleae use other words.
等待角色完成开采。	Wait until your character has finished mining.
心境无暇	Pristine
\n无	\nNone
Tag:{0} 程度{1} MinLevel:{2} MaxLevel:{3} 未找到任何满足条件的效果	Tag: {0} Degree {1} MinLevel: {2} MaxLevel: {3} No effects met
姓名	Name
景观优美	Beautiful
你答应完成的任务并未按时完成，{0}对你大失所望。\n扣除了{0}的{1}点人情。	{0} is disappointed in you for not completing the quest in time.\nConnection with {0} reduced by {1}.
创建新游戏	Create a new game
指定动物	Assign Animals
对话编辑	Dialogue Edit
学习秘籍:{0}	Learned Manuals: {0}
漆黑	Dark
请选择神国期及以上境界的神道修行者	Select a pantheon cultivator in the divine or higher state.
人民安居乐业，不断有流民前来此地安家，能收集到更多信仰。	People are happily living here, and there is a constant influx of immigrants. Can gather more beliefs.
殿	Sanctum
与人发生争斗	Began a combat
调整角色面向。	Adjust character facing.
{0}近期将会前往门派做客	{0} will visit your sect later.
{0}天劫临近(低于30秒)，拒绝前往。	{0}Heavenly Tribulation is coming (in less than 30 sec). Refused to go.
是否确定觉醒灵智	Are you sure you want to awaken intelligence?
模组数据拉取失败	Failed to load mod data
可完成成就：	Available Achievements:
被傲慢之念萦绕，修行速度，学习速度，心境大幅下降。角色在此状态下战斗时傲慢自得而心态优越，因此御器技能，术法技能，护体技能均突破极限1级。	Becomes arrogant. Practice efficiency, learning speed and mental state are drastically reduced. In the state, the character will be very arrogant, thus gaining the confidence to fight. Breakthroughs 1 level of Artifact Crafting, Spell and Protection.
拷问这个角色	Interrogate this character.
觉得自己不是练剑的料，正有点灰心	Frustrated as training sword mastery is not going well
分享码	Share Code
因神性圆满而产生的信仰天劫。如果度过，则神化飞升，如若失败，则灰飞烟灭。	A Belief Tribulation caused by the fulfilled divinity. If the character survives, they will ascend into immortality; if not, they will be obliterated.
大小适中的	Medium sized
存档上传失败,大小超过Google上传限制	Save File Upload Failed, Size Exceeds Google Upload Limit
正在下载	Downloading
订阅数:	Subscribers:
编辑对话。	Edit dialogues.
选择秘籍	Select Manual
放置物品	Place Item
{0}/{1}(完成)	{0}/{1}(Finished)
鉴定镇物	Identify Relic
突破时的天气对突破成功率的影响。	The weather affects the success rate of breakthroughs.
食用12阶的物品累积{0}({1:N0})次	Eats {0} ({1:N0}) Tier 12 items
木料	Timber
在这个建筑上撰写内容。	Write any content on this structure.
成功得到{0}的行踪：{1}。	Successfully traced {0}: {1}.
花布	Patterned Fabric
确定要重置教学提示吗？	Are you sure you want to reset the tutorial tips?
天	d
该任务将要求进入地图击杀一位{0}的敌人。	This quest requires to enter the map and kill a {0} enemy.
一种{0}的天道异动消散了……	A type of {0} Heavenly Chaos dissipated...
钓鲲者	Kraken Catcher
获得符咒：{0} X {1}	Obtained Talisman: {0} X {1}
灵气:{0:N0}/{1:N0}\n灵气是施展内门行为的基础资源。\n角色会从环境中吸取灵气	Qi: {0:N0}/{1:N0}\nQi is the basic resources for using inner actions.\nCharacters absorb Qi from their surroundings.
无法吞食该物品	Unable to devour this item.
情绪:{0:N0}\n外门弟子情绪低于30会发生怠工。\n内门弟子的情绪太差则会影响到心境的变化甚至发生入魔	Mood: {0:N0}\nWhen an outer disciple's mood drops below 30, they stop working and may begin to slack off.\nIf an inner disciple's mood is too low, it will affect their mental state and they may even become fallen.
灵韵澎湃	Strong Spirit
无法炼制此丹药	Cannot made this drug
房间内生效，受房间内美观影响。	Effective in rooms. Affected by the attractiveness in the room.
确定开除该弟子吗？	Do you want to expel this disciple?
迷惑	Confusion
新建建筑蓝图	Create new building blueprint
门派建设	Sect Building
新建存档	New Save
注：请尽量使用游戏编辑工具来进行修改对话，以免出现不可预计的错误	Note: Please use in-game edit to modify dialogues in case of any unexpected errors.
添加Modify	Add Modify.
有需要保存的内容还没有名字	The content you wish to save does not yet have a name.
农田	Field
加载{0}模组UI报错:{1}	Loading {0} Mods UI Error: {1}
请框选导出的蓝图范围	Drag and select the blueprint area.
食物营养	Food Nutrition
游戏内无法修改扩展内容激活状态	DLC activation status cannot be modified during gameplay.
[align=center]道行天劫[/align]\n已渡次数:{0}\n可渡次数:{1}\n\n[color=#D06508]道行每达百数，便可与冥冥之中感悟天道对道行之限制。若修成元神，便可运转元神引动天机，以渡道行之天劫。[/color]	[align=center]Attainment Tribulation[/align]\nSurvived Tribulations: {0}\nTribulations Left {1}\n\n[color=#D06508]For every 100 attainment, the character may try for an epiphany of the attainment restriction from the Creed of Heaven. If the character has cultivated a primordial soul, they can use it to gain insight into the mystery of nature to survive the Attainment Tribulation.[/color]
经典修仙	Classic
灵气不足:{1}({2:N0}) 炼制成功率:{0}	Insufficient Qi: {1} ({2:N0}) Refinement Success Rate: {0}
1倍速\n[keycode]SpeedP[/keycode]  降低速度\n[keycode]SpeedN[/keycode]  提升速度	1x Speed\n[keycode]SpeedP[/keycode] Lower Speed\n[keycode]SpeedN[/keycode] Raise Speed
{0}对其施展的{1}	{0} showed them {1}
炼制法宝	Refine Artifact
控制台	Console
只有对护御之道有足够的造诣（20级以上），才能将这部分感悟寄托于装备。	Only when the character gains enough understanding of Protection (Lv.20 and higher), they can attach that epiphany to their equipment.
\n因为你尚未完全熟悉游戏,建议使用二到四人开局。\n要直接进入吗？	\nAs you are not yet accustomed to the game, we recommend you to use 2 to 4 members.\nEnter the game?
灵宠会优先食用高优先级的食物	Pets will eat food with high Priority first.
已将分享字符串复制到剪切板	A share string has been copied to the clipboard.
前往{0}-弟子	Go to {0} - Disciple
({0}天)	({0} days)
游荡	Roam
请框选区域范围!	Please drag and select an area
{0}\n{1}\n入住天数：{3}\n信仰程度：{2:N0}%\n完成愿望：{5}/5\n提供信仰：{4:N2}/秒	{0}\n{1}\nResidency Duration: {3}\nExtent of Belief: {2:N0}%\nWishes Fulfilled: {5}/5\nBeliefs: {4:N2}/s
第{0}赛季	Season {0}
突破时的阴阳偏向对突破成功率的影响。\n在五行属性中，火木属阳性，在白天得到加成；金水属阴性，在夜晚得到加成；土则需要阴阳均衡。	Your Yin Yang affects the success fate of breakthroughs.\nAmong the Five Elements, Fire and Wood count as Yang and have a bonus effect during the day. Metal and Water count as Yin and have a bonus effect at night. Earth requires a balanced Yin and Yang.
请选择建造点!	Please select a building point!
优秀	Excellent
难度查看	Difficulty
无极	Infinite
你完成了{0}的{1}个任务	You have completed {1} tasks for {0}.
热身结束，刚准备开始筑基	Warm-up finished; about to begin foundation training
太一门	Taiyi Sect
是否确定合成灵智碎片，合成以后将无法取消	Are you sure you want to synthesize Intelligence Shard? Once synthesized, it cannot be reversed.
重新整理仓库	Sort the inventory.
载入配置	Loading Configurations
取消材料更换。	Cancel material replacement.
我们什么都不会答应你，你走吧	We won't promise you anything. Please, leave.
{3}消耗信仰：{0}/{5:F0}{4}\n神民：+{1}   神性：+{2:F2}%	{3}Belief Cost: {0}/{5:F0}{4}\nResidents: +{1}   Residents: +{2:F2}%
结丹地点的灵气浓度对结丹效果的影响。	The location's Qi density affects the quality of the core during core Shaping.
小吉	Slightly Auspicious
{0}\n{5}：{4}\n目标类型：{3}\n阵法中每人消耗灵气：{1:N0}点\n阵法灵机：{2}点\n	{0}\n{5}: {4}\nTarget Type: {3}\nQi cost/person in the circle: {1:N0} points\nFormation Energy: {2} points\n
木属性	Wood Element
打坐	Meditate
妖兽无法被转换阵营	Beasts cannot be turned to your side.
作用半径：{0:F1}米\n	Range: {0:F1}m\n
炼器中	Crafting artifact
{0}不足：{1}/{2}	Insufficient {0}: {1}/{2}
位于炼宝台之侧	and Located next to the Crafting Table
